"","authorID","groupID","author_name","author_order","address","university","department","postal_code","city","state","country","RP_address","RI","OI","UT","refID","PT","PY","PU"
"40",40,40,"Quiros, Rodolfo",5,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000470793900007",7,"J","2019",NA
"41",41,41,"Romanak, Kevin A.",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000470793900007",7,"J","2019",NA
"42",42,42,"Steiniche, Tessa",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000470793900007",7,"J","2019",NA
"43",43,43,"Venier, Marta",8,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000470793900007",7,"J","2019",NA
"44",44,44,"Wang, Shaorui",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000470793900007",7,"J","2019",NA
"45",45,45,"Wasserman, Michael D.",7,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000470793900007",7,"J","2019",NA
"46",46,14,"Cross, Matthew D.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000473794600017",8,"J","2019",NA
"47",47,15,"Marshall, Wesley E.",6,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000473794600017",8,"J","2019",NA
"48",48,48,"Moreno-Sanchez, Rafael",5,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000473794600017",8,"J","2019",NA
"49",49,49,"Pacifici, Fabio",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000473794600017",8,"J","2019",NA
"50",50,153,"Scambos, Ted",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000473794600017",8,"J","2019",NA
"51",51,51,"Vargas-Ramirez, Orlando",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000473794600017",8,"J","2019",NA
"52",52,52,"Alvarez, Maria D. Vera",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000485906300011",9,"J","2019",NA
"53",53,53,"Cove, Michael, V",3,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,"0000-0001-5691-0634","WOS:000485906300011",9,"J","2019",NA
"54",54,54,"Fernandez, Christopher M.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000485906300011",9,"J","2019",NA
"55",55,55,"Reis, Roberto E.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000472818500004",10,"J","2019",NA
"56",56,56,"Marra Santos, Fidelis Junio",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000472818500004",10,"J","2019",NA
"57",57,57,"Lister, Bradford C.",2,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000472818500007",11,"J","2019",NA
"58",58,58,"Thonis, Anna E.",1,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS:000472818500007",11,"J","2019",NA
"59",59,59,"Boyle, W. Alice",4,"Could not be extracted",NA,NA,NA,NA,NA,NA,NA,"G-1872-2010","0000-0002-2880-142X","WOS:000471051300002",12,"J","2019",NA
