,authorID,groupID,author_name,author_order,address,university,department,postal_code,city,state,country,RP_address,RI,OI,UT,refID,PT,PY,PU
5703,5703,4417,"Fernandez-Marin, Hermogenes",1,"Inst Invest Cient & Serv Alta Tecnol, Ctr Biodiversidad & Descubrimiento Drogas, Ciudad Del Saber, Clayton, Panama.",inst invest cient & serv alta tecnol,inst invest cient & serv alta tecnol,NA,ciudad del saber,clayton,panama,"inst invest cient & serv alta tecnol, ctr biodiversidad & descubrimiento drogas, edificio 219, ciudad del saber, clayton, panama.",NA,NA,WOS:000357460400005,618,J,2015,NA
4,4,4,"Alvarez, Mauricio",6,"Inst Invest Recursos Biol Alexander von Humboldt, Bogota, Colombia.",inst invest recursos biol alexander von humboldt,inst invest recursos biol alexander von humboldt,NA,bogota,NA,colombia,NA,NA,NA,WOS:000491025800008,1,J,2019,NA
7140,7140,6081,"Alda, Fernando",1,"Inst Invest Recursos Cineget CSIC UCLM JCCLM, Ciudad Real 13005, Spain.",inst invest recursos cineget csic uclm jcclm,inst invest recursos cineget csic uclm jcclm,13005,ciudad real,NA,spain,"smithsonian trop res inst, apartado 0843-03092, balboa, ancon, panama.",NA,NA,WOS:000315290100019,808,J,2013,NA
7143,7143,7143,"Garcia, Jesus T.",6,"Inst Invest Recursos Cineget CSIC UCLM JCCLM, Ciudad Real 13005, Spain.",inst invest recursos cineget csic uclm jcclm,inst invest recursos cineget csic uclm jcclm,13005,ciudad real,NA,spain,NA,NA,NA,WOS:000315290100019,808,J,2013,NA
3477,3477,3477,"Boya, Cristopher A. P.",3,"Inst Investigaciones Cientficas & Serv Alta Tecno, Ctr Biodivers & Drug Discovery, Apartado 0843-01103, Ancon, Panama.",inst investigaciones cientficas & serv alta tecno,inst investigaciones cientficas & serv alta tecno,0843-01103,apartado ,ancon,panama,NA,NA,0000-0002-8093-596X,WOS:000395824000003,343,J,2017,NA
3478,3478,3478,"Echeverri, Juan C. Rojas",2,"Inst Investigaciones Cientficas & Serv Alta Tecno, Ctr Biodivers & Drug Discovery, Apartado 0843-01103, Ancon, Panama.",inst investigaciones cientficas & serv alta tecno,inst investigaciones cientficas & serv alta tecno,0843-01103,apartado ,ancon,panama,NA,NA,NA,WOS:000395824000003,343,J,2017,NA
1888,1888,1888,"Johannessen, Tore",104,"Inst Marine Res, His, Norway.",inst marine res,inst marine res,NA,his,NA,norway,NA,NA,NA,WOS:000439785700001,183,J,2018,NA
1898,1898,1898,"Knutsen, Halvor",114,"Inst Marine Res, His, Norway.",inst marine res,inst marine res,NA,his,NA,norway,NA,A-4261-2009,0000-0002-7627-7634,WOS:000439785700001,183,J,2018,NA
1931,1931,1931,"Moland, Even",146,"Inst Marine Res, His, Norway.",inst marine res,inst marine res,NA,his,NA,norway,NA,A-7788-2013,NA,WOS:000439785700001,183,J,2018,NA
1946,1946,1946,"Olsen, Esben M.",160,"Inst Marine Res, His, Norway.",inst marine res,inst marine res,NA,his,NA,norway,NA,B-1894-2012,0000-0003-3807-7524,WOS:000439785700001,183,J,2018,NA
5789,5789,5789,"Reichmuth, Colleen",5,"Inst Marine Sci, Long Marine Lab, Santa Cruz, CA 95060 USA.",inst marine sci,long marine lab,95060,santa cruz,ca,usa,NA,NA,NA,WOS:000351452700019,630,J,2015,NA
5790,5790,5790,"Sadou, Megan Connolly",2,"Inst Marine Sci, Long Marine Lab, Santa Cruz, CA 95060 USA.",inst marine sci,long marine lab,95060,santa cruz,ca,usa,NA,NA,NA,WOS:000351452700019,630,J,2015,NA
7365,7365,7365,"Traveset, Anna",6,"Inst Mediterrani Estudis Avancats CSIC UIB, Mallorca 07190, Balearic Island, Spain.",inst mediterrani estudis avancats csic uib,inst mediterrani estudis avancats csic uib,7190,mallorca,balearic island,spain,NA,D-7802-2011,NA,WOS:000310798400014,841,J,2012,NA
3531,3531,5437,"Vicentini, Alberto",9,"Inst Nacl de Pesquisas da Amazonia, Av Andre Araujo 2936,CP 478, BR-69060001 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69060001, manaus,amazonas,brazil,NA,NA,NA,WOS:000393643700010,348,J,2017,NA
7530,7530,7530,"Deichmann, Jessica L.",1,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, AM, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,am,brazil,"smithsonian conservat biol inst, natl zool pk,pob 37012,mrc 705, washington, dc 20013 usa.",NA,0000-0002-2198-3515,WOS:000308837700001,866,J,2012,NA
7534,7534,8019,"Bruce Williamson, G.",5,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, AM, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,am,brazil,NA,NA,NA,WOS:000308837700001,866,J,2012,NA
7474,7474,7474,"Lourenco, Waldete C.",4,"Inst Nacl de Pesquisas da Amazonia, Biol Dynam Forest Fragments Project, BR-69011970 Manaus, Amazonas, Brazil.",inst nacl de pesquisas da amazonia,inst nacl de pesquisas da amazonia,69011970, manaus,amazonas,brazil,NA,NA,NA,WOS:000311403400002,856,J,2012,NA
