"","authorID","AU","AF","groupID","match_name","matchID","similarity","confidence","university","department","postal_code","country","address","RP_address","RI","OI","EM","UT","author_order","refID","PT","PY","PU"
"90",90,"Zelikova, TJ","Zelikova, T. J.",90,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000460859100005",14,16,"J","2019",NA
"29",29,"Pinto-Tomas, AA","Pinto-Tomas, A. A.",103,NA,NA,0.944444444444444,8,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000481443800031",10,5,"J","2019",NA
"85",85,"Pinto-Tomas, AA","Pinto-Tomas, A. A.",103,"Pinto-Tomas, A. A.",29,0.944444444444444,8,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000460859100005",10,16,"J","2019",NA
"103",103,"Pinto-Tomas, AA","Pinto-Tomas, Adrian A.",103,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000443430000001",9,19,"J","2018",NA
"136",136,"Pinto-Tomas, AA","Pinto-Tomas, Adrian A.",103,NA,NA,NA,NA,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000425323900029",5,27,"J","2018",NA
"1182",1182,"Clark, D","Clark, D",109,"Clark, Deborah A.",109,0.859090909090909,2,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000178321900007",5,345,"J","2002",NA
"889",889,"Clark, DA","Clark, D. A.",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000248379900004",2,244,"J","2007",NA
"989",989,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000236289600008",2,278,"J","2006",NA
"1082",1082,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000220382500008",3,311,"J","2004",NA
"1102",1102,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000189130000010",6,320,"J","2004",NA
"1127",1127,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000186644700001",2,327,"J","2003",NA
"1148",1148,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000182939400053",1,333,"J","2003",NA
"1188",1188,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000176604900018",2,346,"J","2002",NA
"1249",1249,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000168844200020",1,367,"J","2001",NA
"1263",1263,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000089269400018",2,374,"J","2000",NA
"1290",1290,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000084204100017",3,387,"J","1999",NA
"1318",1318,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000081972600019",1,396,"J","1999",NA
"1352",1352,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000074486100003",1,415,"J","1998",NA
"1384",1384,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1996UL40500004",2,430,"J","1996",NA
"1397",1397,"Clark, DA","Clark, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1996TT31100019",2,436,"J","1996",NA
"1404",1404,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1995TJ31200018",1,439,"J","1995",NA
"1436",1436,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1994PV00900014",1,452,"J","1994",NA
"1438",1438,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1994PZ75500002",3,453,"J","1994",NA
"1455",1455,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1993MQ92100003",2,462,"J","1993",NA
"1469",1469,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1993LK27900006",3,469,"J","1993",NA
"1482",1482,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1992JJ41600001",1,477,"J","1992",NA
"1492",1492,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1992HC68800005",2,484,"J","1992",NA
"1503",1503,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1991GX79600014",2,490,"J","1991",NA
"1513",1513,"CLARK, DA","CLARK, DA",109,"Clark, Deborah A.",109,0.907692307692308,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:A1988R669900003",1,497,"J","1988",NA
"709",709,"Clark, DB","Clark, D. B.",109,"Clark, David B.",110,0.927272727272727,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000276545600001",3,188,"J","2010",NA
"930",930,"Clark, DB","Clark, D. B.",109,"Clark, David B.",110,0.927272727272727,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000245427300003",4,256,"J","2007",NA
"1008",1008,"Clark, DB","Clark, DB",109,"Clark, David B.",110,0.927272727272727,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000234028800017",3,284,"J","2006",NA
"1077",1077,"Clark, DB","Clark, DB",109,"Clark, David B.",110,0.927272727272727,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000221231600002",3,309,"J","2004",NA
"1103",1103,"Clark, DB","Clark, DB",109,"Clark, David B.",110,0.927272727272727,3,NA,NA,NA,NA,"Could not be extracted",NA,NA,NA,NA,"WOS:000189130000010",1,320,"J","2004",NA
